8882,"(come 'round Here) I'm The One You Need","The Miracles"
9569,"(just Like) Starting Over","John Lennon"
9455,"(shake, Shake, Shake) Shake Your Booty","Kc & Sunshine Band"
8001,"05:15:00 Am","The Who"
8003,"1, 2, 3","Gloria Estefan"
8004,"100 Years","Five For Fighting"
8005,"19-2000","Gorillaz"
8002,"1999","Prince"
8006,"2 Become 1","Jewel"
8007,"2001 C. C. Rider","Elvis Presley"
8008,"25 Minutes","Michael Learns To Rock"
8009,"4 Seasons Of Loneliness","Boyz Ii Men"
8010,"500 Miles","Peter, Paul & Mary"
8011,"52nd Street","Billy Joel"
8012,"70's Love Groove","Janet Jackson"
8013,"99 Red Balloons","Nena"
8014,"A Certain Smile","Johnny Mathis"
8015,"A Donde Voy","Jon Secada"
8016,"A Fire I Can't Put Out","George Strait"
8017,"A Fool Such As I","Elvis Presley"
8018,"A Hard Day's Night","The Beatles"
8019,"A Horse With No Name","America"
8022,"A Long December","Counting Crows"
8023,"A Lover's Concerto","Sarah Vaughan"
8025,"A Man Without Love","Engelbert Humperdinck"
8026,"A Matter Of Trust","Billy Joel"
8027,"A Million Love Songs","Take That"
8028,"A Picture Of Me (without You)","George Jones"
8029,"A Place In The Sun","Stevie Wonder"
8031,"A Time For Us","Barbra Streisand"
8033,"A Whiter Shade Of Pale","Procol Halum"
8034,"A Whole New World","P. Bryson & R. Belle"
8035,"A Woman's Worth","Alicia Keys"
8036,"Abacab","Genesis"
8037,"Abc","Jackson 5"
8038,"About A Girl","Nirvana"
8039,"Achy Breaky Heart","Billy Ray Cyrus"
8040,"Across The Lines","Tracy Chapman"
8041,"Act Naturally","The Beatles"
8042,"Africa","Toto"
8043,"After Midnight","Eric Clapton"
8044,"After The Dance","Fourplay Feat. El Debarge"
8045,"After The Love Has Gone","Earth, Wind & Fire"
8046,"After The Lovin'","Engelbert Humperdinck"
8047,"Again","Janet Jackson"
8048,"Again","Lenny Kravitz"
8049,"Against All Odds","Phil Collins"
8050,"Ain't No Mountain High Enough","Diana Ross"
8051,"Ain't No Sunshine","Jackson 5"
8052,"Ain't No Way To Treat A Lady","Helen Reddy"
8053,"Ain't Nothing Like The Real Thing","Marvin Gaye & Tammi Terrell"
8054,"Alexander's Ragtime Band","Bing Crosby And Al Jolson"
8055,"Alive And Kicking","Simple Minds"
8056,"All Apologies","Nirvana"
8057,"All By Myself","Celine Dion"
8058,"All For Love","B. Adams, R. Stewart & Sting"
8059,"All For The Love Of A Girl","Johnny Horton"
8061,"All I Ever Need Is You","Sonny & Cher"
8062,"All I Wanna Do","Sheryl Crow"
8063,"All I Want Is Forever","James Taylor"
8064,"All My Loving","The Beatles"
8065,"All Night Long","Lionel Richie"
8066,"All Out Of Love","Air Supply"
8067,"All She Wants Is","Duran Duran"
8068,"All That I've Got","The Used"
8069,"All That She Wants","Ace Of Base"
8070,"All The Man That I Need","Whitney Houston"
