3449,"19:00の街","伊藤  薫 筒美京平"
3318,"19GROWING UP  -ODE TO MY BUDDY-","富田 京子 奥居 香"
3266,"1ダ-スの言い訳","秋元 康 林 哲司"
3404,"22才の別れ","伊勢 正三"
3058,"3年目の浮気","佐々木 勉"
3226,"A DAY","西岡恭蔵 矢沢永吉"
3262,"ALONE","稲葉 浩志 松本 孝弘"
3415,"ANGEL","氷室 京介"
3499,"AUTOMATIC","宇多田 ヒカル"
3332,"B・BLUE","氷室 京介 布袋 寅泰"
3338,"CAN YOU CELEBRATE?","小室 哲哉"
3491,"CAT'S EYE","三浦 徳子 小田 裕一郎"
3436,"CHASE THE CHANCE","前田たかひろ  小室哲哉"
3296,"City Hunter ~愛よ 消えないで~","作詞：麻生 圭子 作曲：大内 義昭"
3294,"C調言葉に御用心","桑田 佳祐"
3438,"DEPARTURES","小室 哲哉"
3315,"DESTINY","松任谷 由実"
3208,"Diana","P.Anka"
3263,"EASY COME, EASY GO!","稲葉 浩志 松本 孝弘"
3250,"Eyes to me","吉田 美和 中村 正人"
3264,"EZ DO DANCE","TETSUYA KOMURO TETSUYA KOMURO"
3342,"ff(フォルティシモ)","松尾 由紀夫 蓑輪 単志"
3312,"First Love","Utada Hikaru"
3419,"Get Wild","小室 みつ子 小室 哲哉　"
3214,"HEARTBREAK HOTEL","Axton Maeboren Durden Thomas/Presley Elvis"
3442,"HEROヒーロー になる時それは今","甲斐 よしひろ"
3324,"Highway star","渡辺 敦子 渡辺 敦子･奥居 香"
3328,"Honey B","久保田 利伸"
3215,"HOTEL CALIFORNIA","FELDER/FREY/HENLEY"
3437,"I BELIEVE","小室 哲哉"
3081,"I LOVE YOU","尾崎 豊"
3428,"Ice Rain","愛絵理  都志見隆"
3450,"LOVE PHANTOM","稲葉 浩志 松本 孝弘"
3097,"LOVE SONG","飛鳥 涼"
3221,"LOVE STORY","C. Sigman F. Lai"
3498,"LOVEマシーン","つんく"
3366,"Make-up Shadow","井上 陽水 彩目 映"
3359,"Marionette","氷室 京介 布袋 寅泰"
3216,"MASSACHUSETTS","作詞･作曲：B.Gibb R.Gibb/M.Gibb"
3370,"MELODY","福山 雅治"
